timestamp,name,action,value
1026577164801279,total:processed:files,decrement,1
1026577169265587,total:content:bytes:written,increment,14459
1026577170712191,total:content:bytes:read,increment,5329
1026577313435958,total:api:calls,increment,1
1026577313605188,histogram:api:response:time,duration,start
1026577313529126,per:minute:operations,value,1
1026592736903280,histogram:api:errors,value,200
1026592737139910,histogram:api:response:time,duration,end
1026592737273843,total:used:tokens,increment,1058
1026592737399313,per:minute:used:tokens,increment,1058
1026592739907346,total:processed:files,decrement,1
1026592741518867,total:content:bytes:read,increment,64
1026592745658289,total:api:calls,increment,1
1026592745755463,per:minute:operations,value,1
1026592745839950,histogram:api:response:time,duration,start
1026604139096373,histogram:api:errors,value,200
1026604139282039,histogram:api:response:time,duration,end
1026604139414130,total:used:tokens,increment,164
1026604139538134,per:minute:used:tokens,increment,164
1026604141676273,total:processed:files,decrement,1
1026604144060196,total:content:bytes:written,increment,534
1026658940320742,histogram:api:errors,value,200
1026658940577330,histogram:api:response:time,duration,end
1026658940844983,total:used:tokens,increment,4097
1026658941009464,per:minute:used:tokens,increment,4097
1026658944037157,total:processed:files,decrement,1
1026658947370241,total:content:bytes:written,increment,11643
1026712440876858,histogram:api:errors,value,200
1026712441192468,histogram:api:response:time,duration,end
1026712441333184,total:used:tokens,increment,2760
1026712441465071,per:minute:used:tokens,increment,2760
1026712444330665,total:processed:files,decrement,1
1026712448304079,total:content:bytes:written,increment,6147
1026713721733085,histogram:api:errors,value,200
1026713721888610,histogram:api:response:time,duration,end
1026713721999263,total:used:tokens,increment,3275
1026713722104445,per:minute:used:tokens,increment,3275
1026729222837991,histogram:api:errors,value,200
1026729223041753,histogram:api:response:time,duration,end
1026729223166055,total:used:tokens,increment,3274
1026729223279404,per:minute:used:tokens,increment,3274
1026729225526637,total:processed:files,decrement,1
1026729229843065,total:content:bytes:written,increment,13465
1026733740270332,histogram:api:errors,value,200
1026733740493762,histogram:api:response:time,duration,end
1026733740612276,total:used:tokens,increment,3234
1026733740746945,per:minute:used:tokens,increment,3234
1026733746611193,total:processed:files,decrement,1
1026733750675492,total:content:bytes:written,increment,3114
